Image File,Comment [Bivalent path],Bivalent length in microns,Pachytene stage,Good trace? (y/n)
WT_15.11.19_plant22_slide1_image1.2,1,50.4262,mid,y
WT_15.11.19_plant22_slide1_image1.2,2,56.9491,mid,y
WT_15.11.19_plant22_slide1_image1.2,3,63.2316,mid,n
WT_15.11.19_plant22_slide1_image1.2,4,35.0185,mid,y
WT_15.11.19_plant22_slide1_image1.2,5,43.1104,mid,y
WT_15.11.19_plant22_slide1_image2,1,52.0428,late,y
WT_15.11.19_plant22_slide1_image2,2,36.6666,late,y
WT_15.11.19_plant22_slide1_image2,3,57.0099,late,y
WT_15.11.19_plant22_slide1_image2,4,36.0178,late,y
WT_15.11.19_plant22_slide1_image2,5,38.6936,late,y
WT_15.11.19_plant22_slide1_image4,1,47.969,late,y
WT_15.11.19_plant22_slide1_image4,2,42.0312,late,y
WT_15.11.19_plant22_slide1_image4,3,57.8774,late,n
WT_15.11.19_plant22_slide1_image4,4,54.0896,late,y
WT_15.11.19_plant22_slide1_image4,5,39.5906,late,y
WT_15.11.19_plant22_slide1_image7,1,50.9185,mid/late,y
WT_15.11.19_plant22_slide1_image7,2,61.4706,mid/late,n
WT_15.11.19_plant22_slide1_image7,3,60.4822,mid/late,y
WT_15.11.19_plant22_slide1_image7,4,36.3848,mid/late,n
WT_15.11.19_plant22_slide1_image7,5,38.5322,mid/late,y
WT_15.11.19_plant22_slide1_image9.1,1,48.7804,late,y
WT_15.11.19_plant22_slide1_image9.1,2,53.6034,late,y
WT_15.11.19_plant22_slide1_image9.1,3,34.492,late,y
WT_15.11.19_plant22_slide1_image9.1,4,35.3601,late,y
WT_15.11.19_plant22_slide1_image9.1,5,40.0191,late,y
WT_15.11.19_plant22_slide1_image9.2,1,37.2192,late,y
WT_15.11.19_plant22_slide1_image9.2,2,36.9838,late,y
WT_15.11.19_plant22_slide1_image9.2,3,63.4497,late,y
WT_15.11.19_plant22_slide1_image9.2,4,53.1977,late,y
WT_15.11.19_plant22_slide1_image9.2,5,47.3457,late,y
WT_15.11.19_plant22_slide1_image9.3,1,59.1349,late,y
WT_15.11.19_plant22_slide1_image9.3,2,62.0647,late,y
WT_15.11.19_plant22_slide1_image9.3,3,36.0999,late,y
WT_15.11.19_plant22_slide1_image9.3,4,43.9483,late,y
WT_15.11.19_plant22_slide1_image9.3,5,38.4007,late,y
WT_15.11.19_plant22_slide1_image10,1,55.8308,mid/late,y
WT_15.11.19_plant22_slide1_image10,2,74.5826,mid/late,y
WT_15.11.19_plant22_slide1_image10,3,47.3463,mid/late,y
WT_15.11.19_plant22_slide1_image10,4,68.126,mid/late,y
WT_15.11.19_plant22_slide1_image10,5,62.9039,mid/late,y
WT_15.11.19_plant22_slide1_image14.1,1,35.2677,late,y
WT_15.11.19_plant22_slide1_image14.1,2,55.1577,late,y
WT_15.11.19_plant22_slide1_image14.1,3,46.0063,late,y
WT_15.11.19_plant22_slide1_image14.1,4,40.0323,late,n
WT_15.11.19_plant22_slide1_image14.1,5,60.4938,late,y
WT_15.11.19_plant22_slide1_image14.2,1,34.8235,late,y
WT_15.11.19_plant22_slide1_image14.2,2,40.4739,late,y
WT_15.11.19_plant22_slide1_image14.2,3,32.9266,late,y
WT_15.11.19_plant22_slide1_image14.2,4,45.4344,late,y
WT_15.11.19_plant22_slide1_image14.2,5,45.7173,late,n
WT_15.11.19_plant22_slide1_image14.3,1,58.5062,late,y
WT_15.11.19_plant22_slide1_image14.3,2,49.1971,late,y
WT_15.11.19_plant22_slide1_image14.3,3,41.5234,late,y
WT_15.11.19_plant22_slide1_image14.3,4,39.1977,late,y
WT_15.11.19_plant22_slide1_image14.3,5,62.0032,late,n
WT_15.11.19_plant22_slide1_image14.4,1,62.5002,late,y
WT_15.11.19_plant22_slide1_image14.4,2,59.9931,late,y
WT_15.11.19_plant22_slide1_image14.4,3,41.6246,late,n
WT_15.11.19_plant22_slide1_image14.4,4,48.8231,late,y
WT_15.11.19_plant22_slide1_image14.4,5,41.2774,late,y
WT_15.11.19_plant22_slide1_image17.1,1,62.2596,mid/late,y
WT_15.11.19_plant22_slide1_image17.1,2,48.7694,mid/late,y
WT_15.11.19_plant22_slide1_image17.1,3,40.1989,mid/late,y
WT_15.11.19_plant22_slide1_image17.1,4,42.4007,mid/late,y
WT_15.11.19_plant22_slide1_image17.1,5,53.6381,mid/late,y
WT_15.11.19_plant22_slide1_image17.2,1,49.4018,late,y
WT_15.11.19_plant22_slide1_image17.2,2,47.6025,late,y
WT_15.11.19_plant22_slide1_image17.2,3,38.7621,late,y
WT_15.11.19_plant22_slide1_image17.2,4,37.5848,late,y
WT_15.11.19_plant22_slide1_image17.2,5,61.3603,late,y
WT_19.11.19_plant11_slide3_image1,1,69.8039,early,y
WT_19.11.19_plant11_slide3_image1,2,45.3554,early,y
WT_19.11.19_plant11_slide3_image1,3,66.2076,early,y
WT_19.11.19_plant11_slide3_image1,4,52.9092,early,y
WT_19.11.19_plant11_slide3_image1,5,47.2842,early,y
WT_19.11.19_plant11_slide3_image2,1,40.8273,early,y
WT_19.11.19_plant11_slide3_image2,2,45.4696,early,y
WT_19.11.19_plant11_slide3_image2,3,48.9981,early,n
WT_19.11.19_plant11_slide3_image2,4,32.392,early,y
WT_19.11.19_plant11_slide3_image2,5,36.6723,early,y
WT_19.11.19_plant11_slide3_image3,1,58.2349,mid,y
WT_19.11.19_plant11_slide3_image3,2,58.5734,mid,y
WT_19.11.19_plant11_slide3_image3,3,43.8709,mid,y
WT_19.11.19_plant11_slide3_image3,4,35.873,mid,y
WT_19.11.19_plant11_slide3_image3,5,38.3377,mid,y
WT_19.11.19_plant11_slide3_image4,1,44.3147,early,y
WT_19.11.19_plant11_slide3_image4,2,44.7882,early,n
WT_19.11.19_plant11_slide3_image4,3,64.4046,early,y
WT_19.11.19_plant11_slide3_image4,4,51.0685,early,y
WT_19.11.19_plant11_slide3_image4,5,61.6436,early,n
WT_19.11.19_plant11_slide3_image5,1,45.0177,early,y
WT_19.11.19_plant11_slide3_image5,2,36.5451,early,y
WT_19.11.19_plant11_slide3_image5,3,60.2678,early,y
WT_19.11.19_plant11_slide3_image5,4,37.6904,early,y
WT_19.11.19_plant11_slide3_image5,5,50.895,early,n
WT_19.11.19_plant11_slide3_image11,1,44.8635,early,n
WT_19.11.19_plant11_slide3_image11,2,43.8901,early,y
WT_19.11.19_plant11_slide3_image11,3,55.4282,early,n
WT_19.11.19_plant11_slide3_image11,4,65.9869,early,y
WT_19.11.19_plant11_slide3_image11,5,61.5903,early,y
WT_19.11.19_plant11_slide3_image14,1,51.4592,early,y
WT_19.11.19_plant11_slide3_image14,2,48.2266,early,y
WT_19.11.19_plant11_slide3_image14,3,40.4848,early,y
WT_19.11.19_plant11_slide3_image14,4,33.7007,early,y
WT_19.11.19_plant11_slide3_image14,5,33.0295,early,y
WT_19.11.19_plant11_slide3_image16,1,50.9398,early,y
WT_19.11.19_plant11_slide3_image16,2,43.7501,early,y
WT_19.11.19_plant11_slide3_image16,3,45.0837,early,y
WT_19.11.19_plant11_slide3_image16,4,61.6782,early,y
WT_19.11.19_plant11_slide3_image16,5,75.7016,early,n
WT_19.11.19_plant11_slide3_image18,1,42.0682,early,y
WT_19.11.19_plant11_slide3_image18,2,50.2908,early,y
WT_19.11.19_plant11_slide3_image18,3,40.5439,early,y
WT_19.11.19_plant11_slide3_image18,4,55.7644,early,y
WT_19.11.19_plant11_slide3_image18,5,65.8066,early,y
WT_5.12.19_plant16_slide2_image1,1,56.8175,late,y
WT_5.12.19_plant16_slide2_image1,2,47.6353,late,y
WT_5.12.19_plant16_slide2_image1,3,41.0829,late,y
WT_5.12.19_plant16_slide2_image1,4,36.2948,late,y
WT_5.12.19_plant16_slide2_image1,5,39.2646,late,y
WT_5.12.19_plant16_slide2_image2,1,53.4696,mid/late,n
WT_5.12.19_plant16_slide2_image2,2,45.3921,mid/late,y
WT_5.12.19_plant16_slide2_image2,3,31.4968,mid/late,y
WT_5.12.19_plant16_slide2_image2,4,33.6915,mid/late,y
WT_5.12.19_plant16_slide2_image2,5,49.0618,mid/late,y
WT_5.12.19_plant16_slide2_image3,1,44.7796,late,y
WT_5.12.19_plant16_slide2_image3,2,48.7024,late,y
WT_5.12.19_plant16_slide2_image3,3,43.1548,late,y
WT_5.12.19_plant16_slide2_image3,4,57.1833,late,y
WT_5.12.19_plant16_slide2_image3,5,37.2863,late,y
WT_5.12.19_plant16_slide2_image4,1,34.5254,late,y
WT_5.12.19_plant16_slide2_image4,2,35.4666,late,y
WT_5.12.19_plant16_slide2_image4,3,33.1323,late,y
WT_5.12.19_plant16_slide2_image4,4,37.2138,late,y
WT_5.12.19_plant16_slide2_image4,5,46.4966,late,y
WT_5.12.19_plant16_slide2_image5,1,48.2151,late,y
WT_5.12.19_plant16_slide2_image5,2,40.0275,late,n
WT_5.12.19_plant16_slide2_image5,3,58.2165,late,y
WT_5.12.19_plant16_slide2_image5,4,27.0173,late,y
WT_5.12.19_plant16_slide2_image5,5,31.1521,late,y
WT_5.12.19_plant16_slide2_image6,1,33.0446,late,y
WT_5.12.19_plant16_slide2_image6,2,34.4531,late,y
WT_5.12.19_plant16_slide2_image6,3,41.7356,late,y
WT_5.12.19_plant16_slide2_image6,4,45.4847,late,y
WT_5.12.19_plant16_slide2_image6,5,51.3697,late,y
WT_5.12.19_plant16_slide2_image7,1,44.0209,late/mid,y
WT_5.12.19_plant16_slide2_image7,2,59.2482,late/mid,y
WT_5.12.19_plant16_slide2_image7,3,38.3218,late/mid,n
WT_5.12.19_plant16_slide2_image7,4,52.6024,late/mid,y
WT_5.12.19_plant16_slide2_image7,5,42.3961,late/mid,n
WT_5.12.19_plant16_slide2_image8,1,53.7772,mid,y
WT_5.12.19_plant16_slide2_image8,2,37.7799,mid,y
WT_5.12.19_plant16_slide2_image8,3,39.0976,mid,same as path 2?
WT_5.12.19_plant16_slide2_image8,4,46.738,mid,y
WT_5.12.19_plant16_slide2_image8,5,67.253,mid,y
WT_5.12.19_plant16_slide2_image11,1,39.5384,late,y
WT_5.12.19_plant16_slide2_image11,2,47.41,late,y
WT_5.12.19_plant16_slide2_image11,3,33.4181,late,y
WT_5.12.19_plant16_slide2_image11,4,23.647,late,y
WT_5.12.19_plant16_slide2_image11,5,47.9277,late,y
WT_5.12.19_plant16_slide2_image12,1,43.182,mid,y
WT_5.12.19_plant16_slide2_image12,2,42.8983,mid,y
WT_5.12.19_plant16_slide2_image12,3,67.0109,mid,y
WT_5.12.19_plant16_slide2_image12,4,49.3765,mid,y
WT_5.12.19_plant16_slide2_image12,5,61.1922,mid,y
WT_5.12.19_plant16_slide2_image13,1,49.1938,late,y
WT_5.12.19_plant16_slide2_image13,2,36.8777,late,n
WT_5.12.19_plant16_slide2_image13,3,38.6612,late,y
WT_5.12.19_plant16_slide2_image13,4,43.5915,late,y
WT_5.12.19_plant16_slide2_image13,5,55.7163,late,y
WT_5.12.19_plant16_slide2_image14,1,48.4938,mid/late,y
WT_5.12.19_plant16_slide2_image14,2,67.1874,mid/late,y
WT_5.12.19_plant16_slide2_image14,3,41.6515,mid/late,y
WT_5.12.19_plant16_slide2_image14,4,56.608,mid/late,y
WT_5.12.19_plant16_slide2_image14,5,43.2132,mid/late,y
WT_5.12.19_plant16_slide2_image15,1,49.1803,mid,y
WT_5.12.19_plant16_slide2_image15,2,54.0263,mid,y
WT_5.12.19_plant16_slide2_image15,3,64.2064,mid,y
WT_5.12.19_plant16_slide2_image15,4,37.5894,mid,y
WT_5.12.19_plant16_slide2_image15,5,38.6072,mid,y
WT_5.12.19_plant16_slide2_image16,1,45.6627,late,y
WT_5.12.19_plant16_slide2_image16,2,52.9231,late,y
WT_5.12.19_plant16_slide2_image16,3,30.8205,late,y
WT_5.12.19_plant16_slide2_image16,4,34.0167,late,y
WT_5.12.19_plant16_slide2_image16,5,38.3731,late,y
WT_5.12.19_plant16_slide2_image17,1,47.2173,mid,y
WT_5.12.19_plant16_slide2_image17,2,50.4545,mid,y
WT_5.12.19_plant16_slide2_image17,3,41.9552,mid,y
WT_5.12.19_plant16_slide2_image17,4,33.4046,mid,y
WT_5.12.19_plant16_slide2_image17,5,35.3442,mid,y
WT_5.12.19_plant16_slide2_image18,1,46.1233,mid/late,y
WT_5.12.19_plant16_slide2_image18,2,54.3255,mid/late,y
WT_5.12.19_plant16_slide2_image18,3,40.8997,mid/late,n
WT_5.12.19_plant16_slide2_image18,4,40.0035,mid/late,y
WT_5.12.19_plant16_slide2_image18,5,57.6172,mid/late,n
WT_5.12.19_plant16_slide2_image19,1,50.8673,mid,y
WT_5.12.19_plant16_slide2_image19,2,40.2438,mid,y
WT_5.12.19_plant16_slide2_image19,3,35.0841,mid,y
WT_5.12.19_plant16_slide2_image19,4,41.6203,mid,y
WT_5.12.19_plant16_slide2_image19,5,54.7,mid,y
WT_5.12.19_plant16_slide2_image21,1,47.6666,late,y
WT_5.12.19_plant16_slide2_image21,2,54.1179,late,y
WT_5.12.19_plant16_slide2_image21,3,44.1973,late,y
WT_5.12.19_plant16_slide2_image21,4,35.7558,late,y
